epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1715.54,1.51728,1.15817,1.04914,0.44378,0.48083,0.43764,0.21619,1.77312,1.89223,1.5284,0.000776766,0.000776766,0.000776766
65,1736.6,1.53057,1.15304,1.04421,0.53132,0.40921,0.42375,0.22066,1.7645,1.94794,1.4683,0.000770234,0.000770234,0.000770234
66,1757.88,1.54112,1.14954,1.0493,0.43924,0.47493,0.43181,0.22427,1.75293,1.91521,1.50695,0.000763637,0.000763637,0.000763637
67,1779.05,1.51811,1.16342,1.05204,0.48323,0.49748,0.44284,0.22178,1.74331,1.98394,1.49042,0.000756976,0.000756976,0.000756976
68,1800.67,1.52034,1.13652,1.04304,0.48566,0.48772,0.43428,0.22465,1.75341,1.83446,1.48226,0.000750252,0.000750252,0.000750252
69,1822.95,1.49873,1.11345,1.03184,0.55743,0.43603,0.45014,0.23371,1.72333,1.91997,1.4476,0.000743468,0.000743468,0.000743468
70,1863.82,1.52157,1.11774,1.03206,0.50252,0.44919,0.46229,0.23494,1.72083,1.88019,1.45899,0.000736625,0.000736625,0.000736625
71,1906.33,1.52385,1.13029,1.04474,0.45776,0.46072,0.43416,0.22947,1.76264,1.89482,1.49548,0.000729725,0.000729725,0.000729725
72,1947.6,1.5016,1.10579,1.03555,0.50572,0.43317,0.43336,0.22545,1.73107,1.92787,1.46762,0.00072277,0.00072277,0.00072277
73,1987.93,1.51108,1.13161,1.04123,0.47174,0.49169,0.46442,0.24826,1.6902,1.78561,1.44053,0.000715761,0.000715761,0.000715761
74,2028.62,1.51251,1.12563,1.04198,0.47896,0.46486,0.41994,0.21176,1.78141,1.91979,1.5166,0.0007087,0.0007087,0.0007087
75,2070.8,1.51164,1.11146,1.03944,0.51181,0.4319,0.44094,0.2313,1.68237,1.94899,1.44792,0.000701588,0.000701588,0.000701588
76,2111.81,1.48969,1.11333,1.03535,0.5559,0.48323,0.46622,0.24654,1.74027,1.90068,1.47706,0.000694428,0.000694428,0.000694428
77,2153.13,1.48157,1.10532,1.03368,0.46895,0.44445,0.43105,0.23483,1.7032,1.81213,1.46237,0.000687222,0.000687222,0.000687222
78,2188.01,1.49238,1.0914,1.03041,0.50432,0.471,0.45781,0.2315,1.71773,1.80701,1.49599,0.00067997,0.00067997,0.00067997
79,2213.48,1.50901,1.10405,1.02661,0.49929,0.46369,0.44153,0.23363,1.69797,1.86059,1.44512,0.000672675,0.000672675,0.000672675
80,2235.25,1.47645,1.09285,1.02843,0.56144,0.44807,0.45783,0.23803,1.715,1.85674,1.44554,0.000665339,0.000665339,0.000665339
81,2255.89,1.46629,1.06429,1.0256,0.5867,0.44066,0.48404,0.25554,1.71944,1.83753,1.43624,0.000657963,0.000657963,0.000657963
82,2276.86,1.49117,1.08336,1.029,0.52013,0.44984,0.46877,0.24335,1.75497,1.87667,1.49022,0.00065055,0.00065055,0.00065055
83,2297.77,1.47078,1.06543,1.02479,0.52102,0.47309,0.46762,0.25581,1.67192,1.82811,1.41839,0.000643101,0.000643101,0.000643101
84,2318.83,1.50238,1.10781,1.03922,0.50376,0.47952,0.45796,0.24498,1.64887,1.78341,1.4296,0.000635617,0.000635617,0.000635617
85,2339.83,1.45259,1.03836,1.01785,0.51854,0.4564,0.45439,0.24421,1.71817,1.83309,1.4389,0.000628101,0.000628101,0.000628101
